rank,subscribers,Title,category,video views,highest_yearly_earnings,Country
106,35700000,La Granja de Zenï,Music,27118354077.0,14500000.0,Argentina
107,35500000,Saregama Music,Entertainment,15657673422.0,25600000.0,India
108,35500000,IndiaTV,News & Politics,16105023749.0,14000000.0,India
109,35400000,T-Series Bollywood Classics,Music,22637783517.0,15900000.0,India
111,35200000,Markiplier,Gaming,20297931219.0,6100000.0,United States of America
112,35200000,Ryan's World,Entertainment,55299840198.0,11500000.0,United States of America
113,34900000,Genevieve's Playhouse - Learning Videos for ï,Education,25607397308.0,16100000.0,United States of America
116,34300000,Geet MP3,Music,12746535822.0,4900000.0,India
117,34100000,J Balvin,Music,23005313609.0,6200000.0,Colombia
118,34000000,Jess No Limit,Entertainment,3963007415.0,26300000.0,Indonesia
119,34000000,Jingle Toons,Film & Animation,11351015824.0,8600000.0,India
120,33800000,VEGETTA777,Gaming,15432929204.0,1900000.0,Spain
121,33800000,Galinha Pintadinha,Film & Animation,27274550757.0,19400000.0,Brazil
122,33700000,SSSniperWolf,Gaming,23492684419.0,10100000.0,United States of America
124,33600000,Selena Gomez,Film & Animation,13013567335.0,5600000.0,United States of America
125,33500000,Rajshri,Music,14864294792.0,13100000.0,India
127,33500000,KHANDESHI MOVIES,Comedy,11405809704.0,1200000.0,India
128,33400000,NoCopyrightSounds,Music,10530729078.0,2700000.0,United Kingdom
129,33400000,CVS 3D Rhymes & Kids Songs,Education,20269857567.0,6500000.0,India
130,33300000,Ricis Official,People & Blogs,5994136760.0,7500000.0,Indonesia
131,32800000,BabyBus - Kids Songs and Cartoons,Education,26355088167.0,6100000.0,United States of America
132,32700000,Mzaalo,Entertainment,17853798780.0,972600.0,India
134,32700000,DisneyMusicVEVO,Music,28516250629.0,15800000.0,United States of America
135,32600000,The Weeknd,Music,23379969006.0,17900000.0,Canada
137,32100000,KAROL G,Music,18699145555.0,22400000.0,Colombia
138,32100000,Mr Bean,Shows,10602236110.0,2700000.0,United Kingdom
139,32100000,rezendeevil,Gaming,13061739758.0,2100000.0,Brazil
140,32000000,StarPlus,Entertainment,26800674545.0,80000000.0,India
142,31900000,GMA  Network,Entertainment,19428308461.0,38300000.0,Philippines
143,31800000,GENIAL,Howto & Style,6762424690.0,1500000.0,Mexico
144,31700000,MR. INDIAN HACKER,Science & Technology,5711208484.0,5200000.0,India
145,31700000,Worldwide Records Bhojpuri,Music,16476978876.0,5400000.0,India
146,31700000,DONA ïï,Entertainment,21031745531.0,7400000.0,United States of America
147,31700000,Dream,Gaming,2930015381.0,1300000.0,United States of America
148,31600000,Lucas and Marcus,Entertainment,11615848291.0,15000000.0,United States of America
149,31600000,JustinBieberVEVO,Music,26583873105.0,5000000.0,United States of America
151,31400000,Peppa Pig - Official Channel,Film & Animation,22919271731.0,11800000.0,United Kingdom
152,31200000,YOLO AVENTURAS,People & Blogs,9673649438.0,172.0,Venezuela
154,31200000,TheDonato,Entertainment,6187804950.0,9200000.0,Argentina
155,30700000,ImagineDragons,Music,16793072362.0,9100000.0,United States of America
157,30700000,Round2hell,Comedy,3145161634.0,1500000.0,India
158,30500000,Zee News,News & Politics,16709857823.0,22200000.0,India
159,30500000,AboFlah,Gaming,4521573939.0,7600000.0,Kuwait
160,30400000,AH,Entertainment,4332274962.0,1000000.0,Indonesia
161,30400000,Trap Nation,Music,14037426379.0,2200000.0,United States of America
163,30300000,Boram Tube Vlog [ïïïïïïïïï,Entertainment,13546549817.0,1100000.0,United States of America
164,30200000,Adele,Music,14199108016.0,6600000.0,United Kingdom
166,30200000,ýýýýýýýý ýýýýýýýý ýýýýýýýýýý | toyoraljanahtv,Entertainment,27684955537.0,5600000.0,Jordan
168,30100000,Spinnin' Records,Music,19607009165.0,4800000.0,Netherlands
169,30100000,Little Angel: Nursery Rhymes & Kids Songs,Education,22593193994.0,5200000.0,United States of America
171,30000000,Shawn Mendes,Music,12831200855.0,4300000.0,Canada
172,29800000,ashish chanchlani vines,Comedy,4457913639.0,1300000.0,India
173,29600000,Ultra Records,Music,17208027242.0,3900000.0,United States of America
175,29300000,MaLuMa,Music,21226945136.0,0.72,Argentina
177,29200000,Enaldinho,Comedy,11627437847.0,14500000.0,Brazil
178,29200000,AuronPlay,Comedy,4079141673.0,582900.0,Spain
180,28900000,infobells - Tamil,Education,17930570614.0,5300000.0,India
182,28400000,The Late Late Show with James Corden,Entertainment,9956764048.0,1300000.0,United States of America
183,28400000,Aditya Movies,Movies,10062770060.0,10900000.0,India
185,28300000,infobells - Telugu,Education,14814192034.0,13800000.0,India
186,28300000,HUM TV,Entertainment,23844936965.0,32900000.0,Pakistan
187,28200000,Shemaroo Movies,Entertainment,7600740993.0,8900000.0,India
188,28200000,Michael Jackson,Music,14412474625.0,7600000.0,United States of America
192,27800000,Bounce Patrol - Kids Songs,Music,21037851468.0,6100000.0,Australia
193,27700000,toycantando,Music,15777682516.0,8300000.0,Colombia
195,27500000,Wiz Khalifa,Music,13379395501.0,4300000.0,United States of America
196,27400000,JYP Entertainment,Music,19883150017.0,14800000.0,South Korea
197,27400000,ýýý Kids Roma Show,People & Blogs,10336420490.0,8400000.0,United States of America
198,27400000,DanTDM,Gaming,19417887510.0,3800000.0,United Kingdom
199,27300000,Nick Jr.,Film & Animation,22440611155.0,2000000.0,United States of America
200,27300000,Crazy XYZ,Entertainment,7705492350.0,4900000.0,India
202,27100000,Dushyant kukreja,Entertainment,17318452893.0,20600000.0,India
204,27000000,Brent Rivera,Comedy,6570935979.0,6900000.0,United States of America
205,26900000,Renato Garcia YT,Entertainment,7938616641.0,4000000.0,Brazil
206,26700000,Beast Reacts,People & Blogs,4388047013.0,13300000.0,United States of America
207,26700000,enchufetv,Comedy,10317306313.0,1200000.0,Colombia
208,26700000,Netflix,Entertainment,7173668905.0,5700000.0,United States of America
209,26500000,Raffy Tulfo in Action,News & Politics,15065753455.0,7800000.0,Philippines
210,26500000,WORLDSTARHIPHOP,Music,20358117330.0,4300000.0,United States of America
211,26400000,Goldmines Bollywood,Film & Animation,8595760553.0,4800000.0,India
212,26400000,Alan Chikin Chow,Comedy,27006526665.0,50200000.0,United States of America
213,26400000,PANDA BOI,Entertainment,17211600007.0,58800000.0,Italy
